storm_id,storm_name,year,timestamp_utc,raw_timestamp,latitude,longitude,intensity_knots,max_sustained_wind_ms,max_sustained_wind_kmh,central_pressure_hpa,cyclone_category,storm_nature,track_type,file_path,image_shape,image_exists,dataset_origin,data_maturity_flag,quality_flag
2000088N08090,NIO_2000088N08,2000,2000-03-27 12:00:00 UTC,2000-03-27T11:59:59.999959808,7.5,90.0,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000088N08090_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000088N08090,NIO_2000088N08,2000,2000-03-27 15:00:00 UTC,2000-03-27T14:59:59.999959808,8.0,89.4,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000088N08090_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000236N17084,NIO_2000236N17,2000,2000-08-23 06:00:00 UTC,2000-08-23T05:59:59.999959808,16.5,83.0,25.0,12.86,46.3,996.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000236N17083_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000236N17084,NIO_2000236N17,2000,2000-08-23 09:00:00 UTC,2000-08-23T08:59:59.999959808,16.4,82.7,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000236N17083_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000289N15089,NIO_2000289N15,2000,2000-10-14 18:00:00 UTC,2000-10-14T17:59:59.999959808,14.7,89.0,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000289N15089_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000289N15089,NIO_2000289N15,2000,2000-10-14 21:00:00 UTC,2000-10-14T20:59:59.999959808,14.7,88.7,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000289N15089_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000299N13093,NIO_2000299N13,2000,2000-10-25 12:00:00 UTC,2000-10-25T11:59:59.999959808,14.0,92.5,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000300N14093_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000299N13093,NIO_2000299N13,2000,2000-10-25 15:00:00 UTC,2000-10-25T14:59:59.999959808,14.3,92.2,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000300N14093_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000331N09092,NIO_2000331N09,2000,2000-11-26 06:00:00 UTC,2000-11-26T05:59:59.999959808,9.3,90.8,30.0,15.43,55.56,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000331N09091_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000331N09092,NIO_2000331N09,2000,2000-11-26 09:00:00 UTC,2000-11-26T08:59:59.999959808,9.3,90.9,33.0,16.98,61.12,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000331N09091_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000358N08086,NIO_2000358N08,2000,2000-12-23 06:00:00 UTC,2000-12-23T05:59:59.999959808,7.8,85.8,30.0,15.43,55.56,1006.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000358N08086_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2000358N08086,NIO_2000358N08,2000,2000-12-23 09:00:00 UTC,2000-12-23T08:59:59.999959808,7.8,85.4,30.0,15.43,55.56,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2000358N08086_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001141N14068,NIO_2001141N14,2001,2001-05-21 06:00:00 UTC,2001-05-21T05:59:59.999959808,13.7,68.1,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001141N14068_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001141N14068,NIO_2001141N14,2001,2001-05-21 09:00:00 UTC,2001-05-21T08:59:59.999959808,13.7,68.5,28.0,14.4,51.86,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001141N14068_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001163N20087,NIO_2001163N20,2001,2001-06-12 06:00:00 UTC,2001-06-12T05:59:59.999959808,19.6,86.8,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001163N20087_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001163N20087,NIO_2001163N20,2001,2001-06-12 09:00:00 UTC,2001-06-12T08:59:59.999959808,19.8,86.7,25.0,12.86,46.3,1004.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001163N20087_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001267N17070,NIO_2001267N17,2001,2001-09-24 00:00:00 UTC,2001-09-23T23:59:59.999959808,16.6,69.8,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001267N17070_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001267N17070,NIO_2001267N17,2001,2001-09-24 03:00:00 UTC,2001-09-24T02:59:59.999959808,16.6,69.7,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001267N17070_MISSING_1.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001267N17070,NIO_2001267N17,2001,2001-09-24 06:00:00 UTC,2001-09-24T05:59:59.999959808,16.7,69.5,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001267N17070_MISSING_2.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
2001281N18071,NIO_2001281N18,2001,2001-10-08 06:00:00 UTC,2001-10-08T05:59:59.999959808,17.7,70.8,25.0,12.86,46.3,1002.0,Depression / Low,TS,main,tensors/hursat/hursat_genesis_2001281N18071_MISSING_0.npy,128x128,True,HURSAT-B1 v06,FINAL,VALID
