year,observations,unique_cyclones,low_pressure_area_count,depression_count,deep_depression_count,min_wind_kt,mean_wind_kt,max_wind_kt
2000,12,6,0,8,4,25.0,26.92,33.0
2001,16,6,0,13,3,25.0,25.81,30.0
2002,12,6,0,11,1,25.0,25.25,28.0
2003,14,6,3,11,0,15.0,22.36,25.0
2004,24,10,2,20,2,15.0,22.54,30.0
2005,26,14,8,18,0,15.0,20.88,25.0
2006,24,12,6,17,1,15.0,21.79,30.0
2007,12,6,3,8,1,15.0,22.17,28.0
2008,18,9,3,15,0,15.0,21.44,25.0
2009,16,8,1,14,1,15.0,23.81,28.0
2010,14,7,5,9,0,15.0,19.93,25.0
2011,20,10,3,14,3,4.0,22.75,30.0
2012,8,4,2,6,0,15.0,20.75,25.0
2013,10,5,1,9,0,15.0,22.6,25.0
2014,0,0,0,0,0,0.0,0.0,0.0
2015,8,4,0,8,0,25.0,25.0,25.0
